irn,DarYearCollected,DarHigherTaxon,DarCollector,DarCollector2,DarStateProvince,DarCounty,DarLocality,DarIdentifiedBy
9331290,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331291,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331292,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331293,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331294,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331295,1898,"Animalia, Nematoda",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
10038364,1898,"Animalia, Nematoda",M.Rathbun,,,,"Long Beach Grabd Manan, New Brunswick",
9331479,1898,"Animalia, Nematoda, Enoplida, Oncholaimidae",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331302,1898,"Animalia, Nematoda, Enoplida, Oncholaimina",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331303,1898,"Animalia, Nematoda, Enoplida, Oncholaimina",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331304,1898,"Animalia, Nematoda, Enoplida, Oncholaimina",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331305,1898,"Animalia, Nematoda, Enoplida, Oncholaimina",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331306,1898,"Animalia, Nematoda, Enoplida, Oncholaimina",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331307,1898,"Animalia, Nematoda, Enoplida, Oncholaimina",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331308,1898,"Animalia, Nematoda, Enoplida, Oncholaimina",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
9331309,1898,"Animalia, Nematoda, Enoplida, Oncholaimina",M.Rathbun,,,,Long Beach Grand Manan New Brunswick,
306551,1898,"Animalia, Echinodermata, Asteroidea, Forcipulatida, Asteriidae",M.Rathbun,,New Brunswick,,Grand Manan Island,
307360,1898,"Animalia, Echinodermata, Asteroidea, Forcipulatida, Asteriidae",M.Rathbun,,New Brunswick,,Grand Manan Island,
308665,1898,"Animalia, Echinodermata, Asteroidea, Forcipulatida, Asteriidae",M.Rathbun,,New Brunswick,,Grand Manan Island,
934650,1898,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Amphipoda, Gammaridea, Ampithoidae",M.Rathbun,,New Brunswick,,Grand Manan Island,
10124629,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124630,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124631,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124632,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124633,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124634,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124635,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124636,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124637,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124638,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124639,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124640,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124641,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124642,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124643,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124644,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124645,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124646,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124647,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124648,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124649,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124650,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124651,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124652,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124653,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124654,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124655,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124656,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124657,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124658,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124659,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124660,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124661,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124662,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124663,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124664,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124665,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124666,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124667,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124668,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124669,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
10124670,1898,"Animalia, Nematoda",M.Rathbun,,,,New Brunswick,
